identity_client,weight,age,profile_gender,profile_GOR,voted_ge_2024,pastvote_ge_2024,pastvote_EURef,profile_education_level,profile_education_level_recode,profile_work_stat,political_attention,split,xconsent,randMOSTLEAST,mostlikely,leastlikely,MLthermo,MLthermo_KB,MLthermo_KS,MLthermo_NF,MLthermo_ED,MLthermo_CD,MLthermo_AR,LLthermo,LLthermo_KB,LLthermo_KS,LLthermo_NF,LLthermo_ED,LLthermo_CD,LLthermo_AR,agreedisagree,xtrust,child
630,0.84,78,Male,East of England,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,2,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,14,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
631,0.64,51,Male,West Midlands,"Yes, voted",Reform UK,I voted to Leave,ONC,Medium,Not working,10,1,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,86,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
632,0.59,63,Male,East of England,"Yes, voted",Labour,I voted to Remain,Recognised trade apprenticeship completed,Medium,Retired,10,3,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,70,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
633,0.72,70,Male,Wales,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,7,4,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,70,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
634,0.65,61,Female,South East,"Yes, voted",Reform UK,I voted to Leave,City & Guilds certificate - advanced,Medium,Not working,7,2,I consent to taking part in this study,4,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,8,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Almost never,Neither happy nor upset
635,0.67,78,Female,North West,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,10,2,I consent to taking part in this study,6,Conservative Party,Labour Party,1,91,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Don't know
636,0.64,67,Female,East Midlands,"Yes, voted",Labour,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,6,4,I consent to taking part in this study,3,Labour Party,Conservative Party,1,Not Asked,79,Not Asked,Not Asked,Not Asked,Not Asked,1,52,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Extremely upset
637,1.08,49,Female,South East,"Yes, voted",Conservative,I voted to Leave,City & Guilds certificate,Low,Working part time (8-29 hours a week),7,2,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,52,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
638,0.58,54,Female,West Midlands,"Yes, voted",Liberal Democrat,I voted to Leave,University diploma,Medium,Working part time (8-29 hours a week),6,1,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,66,Not Asked,Not Asked,Not Asked,1,Not Asked,13,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,About half of the time,Neither happy nor upset
639,0.74,62,Male,East of England,"Yes, voted",Liberal Democrat,I voted to Leave,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,2,Conservative Party,Labour Party,1,70,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
640,2.93,74,Female,Wales,"No, did not vote",,I voted to Remain,GCE A level or Higher Certificate,Medium,Other,1,3,I consent to taking part in this study,4,Labour Party,Reform UK,1,Not Asked,997,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,17,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
641,0.72,59,Male,South East,"Yes, voted",Liberal Democrat,I voted to Remain,City & Guilds certificate,Low,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,1,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,95,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Somewhat upset
642,0.97,32,Male,Scotland,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Full time student,7,2,I consent to taking part in this study,4,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
643,0.71,55,Female,West Midlands,"Yes, voted",Labour,I voted to Leave,Recognised trade apprenticeship completed,Medium,Working part time (8-29 hours a week),6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
644,0.82,73,Male,Scotland,"Yes, voted",Labour,I voted to Remain,Scottish Higher Certificate,Medium,Retired,7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
645,0.62,61,Male,South West,"Yes, voted",Labour,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,3,Labour Party,Reform UK,1,Not Asked,60,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
646,0.81,44,Female,Yorkshire and the Humber,"Yes, voted",Green,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),5,3,I consent to taking part in this study,2,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
647,0.64,63,Female,South West,"Yes, voted",Liberal Democrat,I voted to Remain,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),6,4,I consent to taking part in this study,4,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,35,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Tend to disagree,Don't know,Neither happy nor upset
648,0.66,74,Male,Yorkshire and the Humber,"No, did not vote",,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,9,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
649,0.64,71,Female,South East,"Yes, voted",Labour,I voted to Remain,No formal qualifications,Low,Working part time (8-29 hours a week),6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
650,0.75,36,Male,South West,"Yes, voted",Reform UK,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Not working,9,4,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,58,Not Asked,Not Asked,Not Asked,1,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Almost never,Don't know
651,0.64,56,Female,South West,"Yes, voted",Conservative,I voted to Remain,University diploma,Medium,Working part time (8-29 hours a week),5,2,I consent to taking part in this study,6,Conservative Party,Green Party,1,52,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,44,Tend to disagree,Once in a while,Neither happy nor upset
652,0.59,70,Female,North East,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,5,4,I consent to taking part in this study,1,Liberal Democrats,Conservative Party,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
653,2.47,47,Male,Wales,"No, did not vote",,I voted to Leave,City & Guilds certificate,Low,Working full time (30 or more hours per week),6,1,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,81,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
654,2.71,46,Female,South West,"No, did not vote",,I voted to Remain,GCE A level or Higher Certificate,Medium,Working part time (Less than 8 hours a week),1,4,I consent to taking part in this study,5,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
655,0.66,59,Female,South East,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Unemployed,8,4,I consent to taking part in this study,1,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,100,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
656,2.53,58,Female,East of England,"Yes, voted",Reform UK,I voted to Leave,"Other technical, professional or higher qualification",Medium,Working part time (8-29 hours a week),1,4,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,92,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
657,2.74,49,Female,Wales,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),2,3,I consent to taking part in this study,4,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
658,0.5,66,Male,North West,"Yes, voted",Green,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,8,1,I consent to taking part in this study,5,Labour Party,Reform UK,1,Not Asked,74,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,8,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Extremely upset
659,0.46,45,Female,Yorkshire and the Humber,"Yes, voted",Green,I did not vote,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,5,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
660,2.87,67,Male,North West,"No, did not vote",,I did not vote,No formal qualifications,Low,Retired,2,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
661,0.78,44,Male,South West,"Yes, voted",Liberal Democrat,I did not vote,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),10,4,I consent to taking part in this study,1,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,78,Not Asked,Not Asked,1,Not Asked,Not Asked,34,Not Asked,Not Asked,Not Asked,Don't know,Don't know,Neither happy nor upset
662,1.11,75,Female,London,"Yes, voted",Labour,I did not vote,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,1,I consent to taking part in this study,4,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,33,997,1,30,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
663,0.7,71,Male,East of England,"Yes, voted",Liberal Democrat,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
664,0.62,60,Female,Scotland,"Yes, voted",Scottish National Party (SNP),I voted to Remain,Scottish Higher Certificate,Medium,Other,6,2,I consent to taking part in this study,4,None of these,Conservative Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,21,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
665,0.54,61,Male,South East,"Yes, voted",Green,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),10,2,I consent to taking part in this study,2,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,83,80,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
666,0.86,49,Female,West Midlands,"Yes, voted",Don't know,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),5,3,I consent to taking part in this study,4,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
667,0.52,55,Female,South East,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Not working,8,3,I consent to taking part in this study,2,Conservative Party,Labour Party,1,67,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Don't know
668,0.66,69,Male,Scotland,"Yes, voted",Conservative,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,8,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
669,1.01,65,Female,Yorkshire and the Humber,"Yes, voted",Don't know,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Other,3,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
670,0.64,63,Female,West Midlands,"Yes, voted",Other,I voted to Leave,University diploma,Medium,Working part time (8-29 hours a week),7,4,I consent to taking part in this study,5,Conservative Party,Green Party,1,30,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
671,1.11,55,Male,Scotland,"Yes, voted",Labour,I voted to Remain,City & Guilds certificate - advanced,Medium,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,5,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
672,0.51,73,Male,East of England,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (Less than 8 hours a week),9,4,I consent to taking part in this study,3,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
673,0.58,44,Female,North West,"Yes, voted",Other,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,2,None of these,Conservative Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
674,0.64,59,Male,North West,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),10,4,I consent to taking part in this study,5,Labour Party,Reform UK,1,Not Asked,91,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
675,2.88,54,Female,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Leave,Recognised trade apprenticeship completed,Medium,Working full time (30 or more hours per week),1,3,I consent to taking part in this study,5,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,About half of the time,Neither happy nor upset
676,0.8,35,Female,South West,"Yes, voted",Liberal Democrat,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),6,2,I consent to taking part in this study,6,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,90,75,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
677,0.53,36,Female,Scotland,"Yes, voted",Reform UK,I voted to Leave,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),5,1,I consent to taking part in this study,3,Reform UK,Labour Party,1,Not Asked,Not Asked,79,Not Asked,Not Asked,Not Asked,1,Not Asked,8,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Almost never,Neither happy nor upset
678,0.64,63,Male,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working part time (Less than 8 hours a week),7,2,I consent to taking part in this study,1,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,1,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
679,0.78,64,Male,South East,"Yes, voted",Conservative,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,7,4,I consent to taking part in this study,3,Conservative Party,Green Party,1,39,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Neither agree nor disagree,Once in a while,Neither happy nor upset
680,3.02,36,Female,Yorkshire and the Humber,"No, did not vote",,Can’t remember,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),0,1,I consent to taking part in this study,2,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
681,2.12,64,Female,Yorkshire and the Humber,"No, did not vote",,I did not vote,No formal qualifications,Low,Not working,0,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
682,0.71,44,Female,North West,"Yes, voted",Labour,I did not vote,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),7,1,I consent to taking part in this study,5,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
683,0.67,47,Female,London,"Yes, voted",Labour,I voted to Remain,Teaching qualification (not degree),Medium,Working part time (8-29 hours a week),6,4,I consent to taking part in this study,4,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,29,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
684,0.71,34,Female,South East,"Yes, voted",Labour,I did not vote,GCE A level or Higher Certificate,Medium,Not working,4,3,I consent to taking part in this study,6,Labour Party,Conservative Party,1,Not Asked,98,Not Asked,Not Asked,Not Asked,Not Asked,1,47,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
685,0.89,57,Female,South East,"No, did not vote",,I voted to Leave,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Medium,Working part time (8-29 hours a week),7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
686,0.55,34,Female,East Midlands,"No, did not vote",,I voted to Remain,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
687,0.68,31,Female,East of England,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),6,3,I consent to taking part in this study,2,Labour Party,Reform UK,1,Not Asked,72,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,4,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
688,0.57,69,Female,North West,"Yes, voted",Reform UK,I voted to Remain,GCE A level or Higher Certificate,Medium,Retired,5,2,I consent to taking part in this study,1,Reform UK,Labour Party,1,Not Asked,Not Asked,79,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Almost never,Neither happy nor upset
689,0.73,74,Female,South West,"Yes, voted",Conservative,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working part time (8-29 hours a week),7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
690,0.9,32,Female,North West,"Yes, voted",Conservative,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),5,3,I consent to taking part in this study,1,Conservative Party,Reform UK,1,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,6,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
691,0.56,58,Female,West Midlands,"Yes, voted",Green,I voted to Remain,GCE A level or Higher Certificate,Medium,Not working,8,1,I consent to taking part in this study,3,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,98,98,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
692,0.66,76,Male,East of England,"No, did not vote",,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,2,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,56,Not Asked,Not Asked,Not Asked,1,Not Asked,11,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
693,2.36,55,Female,Yorkshire and the Humber,"Yes, voted",Other,I voted to Leave,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),2,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
694,1.07,35,Male,South East,"No, did not vote",,I voted to Leave,Recognised trade apprenticeship completed,Medium,Working full time (30 or more hours per week),6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
695,0.81,56,Male,South East,"Yes, voted",Liberal Democrat,I voted to Remain,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,1,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
696,0.81,84,Female,West Midlands,"Yes, voted",Conservative,I voted to Leave,No formal qualifications,Low,Retired,5,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
697,0.8,67,Female,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),4,4,I consent to taking part in this study,6,Conservative Party,Labour Party,1,76,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,997,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
698,0.71,49,Female,South East,"Yes, voted",Labour,I voted to Leave,CSE grades 2-5,Low,Working part time (8-29 hours a week),5,3,I consent to taking part in this study,1,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
699,1.13,49,Male,London,"No, did not vote",,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),6,2,I consent to taking part in this study,3,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,26,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
700,0.6,35,Female,East of England,"Yes, voted",Reform UK,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,3,Reform UK,Green Party,1,Not Asked,Not Asked,61,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Neither agree nor disagree,Don't know,Neither happy nor upset
